episode,steps,reward_0,reward_1,reward_2,reward_3,loss_0,loss_1,loss_2,loss_3,eps_greedy_0,eps_greedy_1,eps_greedy_2,eps_greedy_3,collisions_0,collisions_1,collisions_2,collisions_3
0,1000,-2.3206923064046947,-2.3206923064046947,-2.3206923064046947,-0.17576847089352443,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0
1,1000,-1.1876352512801958,-1.1876352512801958,-1.1876352512801958,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
2,1000,-2.9330424367874275,-2.9330424367874275,-2.9330424367874275,-0.5529710884808253,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
3,1000,-1.4664193339081852,-1.4664193339081852,-1.4664193339081852,-0.3175665757347226,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,2.0,3.0
4,1000,-0.09132702264716616,-0.09132702264716616,-0.09132702264716616,-0.9374508524501884,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,5.0,0.0,4.0,9.0
5,1000,-1.0273483786638373,-1.0273483786638373,-1.0273483786638373,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
6,1000,-1.0412496833873564,-1.0412496833873564,-1.0412496833873564,-0.0008893843939953394,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
7,1000,-1.6081478767523327,-1.6081478767523327,-1.6081478767523327,-0.029310587140180647,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
8,1000,-1.617691586283897,-1.617691586283897,-1.617691586283897,-0.6326214920998511,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,6.0,0.0,0.0,6.0
9,1000,-0.8148782124579191,-0.8148782124579191,-0.8148782124579191,-0.2645580922321052,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,2.0,2.0
10,1000,-1.537515464058853,-1.537515464058853,-1.537515464058853,-0.0017825476296763475,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
